,ROI_1,ROI_2,ROI_3
0,93.435616,91.39317,95.318054
1,93.43969,91.389,95.3217
2,93.44541,91.35337,95.32562
3,93.44618,91.283035,95.31301
4,93.45847,91.211105,95.30577
5,93.46297,91.23845,95.32091
6,93.4668,91.214264,95.31083
7,93.45439,91.27273,95.310585
8,93.455605,91.29488,95.31254
9,93.46014,91.29017,95.315315
10,93.46814,91.26152,95.32021
11,93.47268,91.28339,95.32042
12,93.475525,91.28101,95.321526
13,93.33499,91.19125,95.20272
14,93.36028,91.147026,95.20857
15,93.48744,91.31312,95.339645
16,93.48369,91.34208,95.358734
17,93.502144,91.33527,95.36787
18,93.367874,91.18459,95.22362
19,93.36478,91.1832,95.21794
20,93.35905,91.16781,95.20712
21,93.485466,91.29348,95.34261
22,93.48876,91.29085,95.33463
23,93.480484,91.28595,95.32985
24,93.34169,91.14366,95.192276
25,93.441216,91.20752,95.28622
26,93.44872,91.246765,95.30462
27,93.45452,91.18713,95.29342
28,93.446465,91.20849,95.28537
29,93.43527,91.21963,95.29049
30,93.435455,91.2308,95.28639
31,93.44313,91.22322,95.29793
32,93.45631,91.247826,95.315216
33,93.44937,91.27622,95.3009
34,93.453606,91.28358,95.29801
35,93.44744,91.27402,95.30348
36,93.448586,91.2858,95.31441
37,93.46086,91.2881,95.32694
38,93.32776,91.155624,95.19951
39,93.46187,91.28358,95.34292
40,93.46582,91.27997,95.35274
41,93.4641,91.27514,95.34815
42,93.46065,91.26304,95.35099
43,93.458084,91.26272,95.33984
44,93.32311,91.103455,95.20019
45,93.45251,91.23626,95.31175
46,93.459755,91.20596,95.316666
47,93.45266,91.217186,95.31119
48,93.448105,91.20715,95.306946
49,93.44503,91.21514,95.29594
50,93.44048,91.220116,95.29492
51,93.444855,91.22061,95.29329
52,93.441734,91.20718,95.303734
53,93.43849,91.19651,95.296074
54,93.44131,91.20585,95.295784
55,93.44052,91.19528,95.296555
56,93.4299,91.23302,95.29521
57,93.435165,91.241974,95.3111
58,93.450935,91.252495,95.31667
59,93.322685,91.123695,95.19444
60,93.45295,91.286095,95.325745
61,93.45,91.28225,95.3219
62,93.306274,91.14134,95.18025
63,93.42857,91.29197,95.307434
64,93.43204,91.26812,95.304016
65,93.43511,91.276344,95.306984
66,93.441315,91.28862,95.31578
67,93.44631,91.297356,95.320984
68,93.44549,91.26961,95.310135
69,93.44784,91.22942,95.29326
70,93.447075,91.21947,95.29951
71,93.44927,91.21241,95.300644
72,93.43998,91.227974,95.297264
73,93.435234,91.23617,95.30432
74,93.437065,91.237686,95.30037
75,93.43206,91.233444,95.29637
