,ROI_1,ROI_2,ROI_3
0,97.02324,92.32486,93.24194
1,97.02324,92.270775,93.24194
2,96.98909,92.28656,93.2809
3,96.9952,92.245224,93.304955
4,96.96667,92.13978,93.30011
5,96.946465,92.16852,93.29092
6,96.96312,92.17435,93.317924
7,97.01376,92.297585,93.29629
8,96.963425,92.30456,93.28307
9,96.99336,92.316635,93.27105
10,96.94965,92.29833,93.260864
11,96.97514,92.22991,93.2672
12,96.96233,92.21744,93.27025
13,96.96761,92.24315,93.240456
14,96.982956,92.19596,93.23951
15,96.9871,92.2038,93.22813
16,96.97735,92.22581,93.254005
17,96.988,92.22273,93.264114
18,96.9802,92.215965,93.284134
19,96.94396,92.21707,93.26859
20,96.95533,92.19515,93.24837
21,96.99753,92.22506,93.26122
22,97.11285,92.22075,93.27235
23,97.124016,92.176094,93.26099
24,97.10238,92.14456,93.257454
25,97.07868,92.11718,93.22546
26,97.053734,92.17014,93.277626
27,97.05003,92.14523,93.33453
28,96.99952,92.14778,93.339035
29,97.004,92.14422,93.345146
30,97.05772,92.15425,93.34647
31,97.02654,92.13126,93.36836
32,97.02598,92.13098,93.371216
33,97.03125,92.15664,93.40189
34,97.00695,92.13131,93.376
35,97.02725,92.08274,93.374886
36,97.06379,92.108925,93.4084
37,97.005775,92.15009,93.40479
38,97.00748,92.08218,93.38792
39,96.94945,92.13511,93.37512
40,96.94827,92.15592,93.35614
41,96.95881,92.12946,93.34204
42,96.957634,92.18299,93.33843
43,96.97515,92.17418,93.34334
44,96.95769,92.19569,93.336716
45,96.97273,92.16465,93.311264
46,96.96873,92.14594,93.34041
47,96.95109,92.144615,93.34758
48,96.96635,92.18872,93.36721
49,96.99271,92.16869,93.369385
50,96.99235,92.155556,93.37267
51,97.002144,92.17127,93.3521
52,97.07687,92.14998,93.373665
53,97.15696,92.19189,93.38016
54,97.235435,92.17853,93.382484
55,97.22796,92.16171,93.34806
56,97.18525,92.16228,93.31722
57,97.11796,92.18803,93.35634
58,97.07492,92.18283,93.377266
59,97.10889,92.214165,93.35184
60,97.02821,92.22178,93.35426
61,97.01255,92.277435,93.31482
62,97.011696,92.26552,93.33351
63,97.03363,92.30534,93.31851
64,97.03241,92.34083,93.32719
65,97.03864,92.287094,93.31223
66,97.02312,92.25981,93.257515
67,97.00288,92.310844,93.26129
68,96.975365,92.31702,93.29478
69,96.97299,92.30737,93.29439
70,96.96688,92.2891,93.30893
71,96.94098,92.293686,93.30808
72,96.96999,92.29132,93.28328
73,96.99033,92.29132,93.30921
74,96.9684,92.240364,93.36994
75,96.98288,92.196045,93.40743
76,96.9695,92.16026,93.40743
77,96.96975,92.143616,93.405396
78,97.00971,92.17077,93.50118
79,96.982956,92.161736,93.45108
80,97.01406,92.121544,93.43331
81,97.01898,92.11355,93.421455
82,97.00066,92.15597,93.401505
83,96.993034,92.17249,93.376434
84,97.00018,92.15458,93.38385
85,97.00222,92.13099,93.39268
86,97.04358,92.19256,93.36532
87,97.047386,92.15554,93.35363
88,97.02052,92.17193,93.35806
89,97.022095,92.18761,93.41904
90,97.033195,92.18761,93.41785
91,96.992485,92.21243,93.37602
92,96.99688,92.17387,93.39176
93,96.990944,92.17688,93.39096
94,97.00464,92.14404,93.36571
95,96.98931,92.14194,93.36544
96,96.98031,92.13131,93.36545
97,97.00554,92.16182,93.36181
98,96.99936,92.176956,93.38538
99,96.97416,92.161415,93.39429
100,96.99763,92.14884,93.374084
101,96.96776,92.14513,93.34173
102,96.9705,92.111565,93.3251
103,96.973,92.09028,93.322754
104,96.96625,92.07385,93.32415
105,96.95032,92.094925,93.35483
106,96.950836,92.1393,93.35974
107,96.94909,92.14224,93.33492
108,97.01957,92.11633,93.39249
109,97.001884,92.17046,93.365204
110,97.02675,92.125305,93.37831
111,96.98348,92.14775,93.3821
112,96.98501,92.16585,93.3821
113,97.03234,92.15361,93.380516
114,97.17744,92.16307,93.33064
115,97.34439,92.15572,93.36294
116,97.31976,92.20346,93.34249
117,97.37482,92.19286,93.37217
118,97.30601,92.20112,93.35596
119,97.27474,92.19729,93.35952
120,97.19413,92.2242,93.3593
121,97.12401,92.18555,93.35465
122,97.096825,92.18823,93.3864
123,97.06699,92.26102,93.40093
124,97.075806,92.21623,93.398895
125,97.15152,92.228226,93.33103
126,97.22067,92.22726,93.320496
127,97.300896,92.21722,93.39907
128,97.31859,92.18102,93.38034
129,97.2738,92.20842,93.37736
130,97.2319,92.204956,93.33317
131,97.19784,92.224106,93.33608
132,97.15004,92.227234,93.33715
133,97.13558,92.20731,93.340034
134,97.14382,92.23534,93.344864
135,97.10246,92.20987,93.32541
136,97.06478,92.18122,93.349045
137,97.0496,92.142914,93.344864
138,97.05794,92.09048,93.3685
139,97.03219,92.064064,93.362404
140,97.01772,92.04157,93.36374
141,96.971794,92.06621,93.31428
142,96.93619,92.05705,93.28375
143,96.95915,92.06123,93.30006
144,97.004196,92.10424,93.28323
145,97.150085,92.11445,93.258865
146,97.250984,92.11104,93.26263
147,97.26168,92.09083,93.27713
148,97.259224,92.12151,93.2765
149,97.23595,92.07911,93.32346
150,97.20972,92.06168,93.3245
151,97.16498,92.0606,93.35564
152,97.160866,92.10572,93.35882
153,97.15018,92.10634,93.34092
154,97.10357,92.08669,93.30512
155,97.08111,92.08851,93.30255
156,97.040375,92.115585,93.34791
157,97.07062,92.09102,93.37609
158,97.17979,92.104805,93.35805
159,97.312645,92.14951,93.33465
160,97.36591,92.159355,93.31099
161,97.34545,92.12032,93.31156
162,97.30236,92.13566,93.32029
163,97.20221,92.125725,93.30898
164,97.174904,92.10546,93.285576
165,97.1146,92.139755,93.29965
166,97.11196,92.16311,93.29199
167,97.09172,92.13619,93.29614
168,97.04779,92.15407,93.28045
169,97.06534,92.190056,93.26282
170,97.02783,92.167564,93.26218
171,97.05085,92.08688,93.25877
172,97.06975,92.07858,93.26841
173,97.05822,92.10065,93.27635
174,97.04223,92.084816,93.27129
175,97.02272,92.07935,93.268295
176,97.04615,92.108086,93.30163
177,97.11007,92.12603,93.31077
178,97.07682,92.10032,93.38736
179,97.09464,92.12138,93.41015
180,97.129074,92.12644,93.39524
181,97.05837,92.10559,93.391754
182,97.07803,92.12885,93.41876
183,97.14656,92.143745,93.43762
184,97.273895,92.10991,93.46364
185,97.34304,92.1311,93.43742
186,97.324295,92.13643,93.391045
187,97.30044,92.142685,93.38225
188,97.287056,92.164604,93.38225
189,97.22247,92.14876,93.38646
190,97.12285,92.114265,93.361115
191,97.098015,92.10715,93.35985
192,97.105576,92.10862,93.34658
193,97.162766,92.12636,93.35128
194,97.35727,92.17116,93.39729
195,97.39275,92.176476,93.3986
196,97.429085,92.17778,93.41038
197,97.399086,92.1499,93.41339
198,97.35831,92.16425,93.43799
199,97.31337,92.12136,93.46514
200,97.20782,92.12055,93.437645
201,97.14419,92.10301,93.43859
202,97.12165,92.12246,93.438675
203,97.19491,92.09628,93.46524
204,97.34149,92.10352,93.43837
205,97.39994,92.0857,93.427895
206,97.362656,92.04037,93.38527
207,97.362656,92.04037,93.38527
208,97.38289,92.01064,93.41124
209,97.28934,92.01705,93.36776
210,97.189316,92.03397,93.37523
211,97.12427,92.01383,93.34832
