,ROI_1,ROI_2,ROI_3
0,90.891945,90.86885,93.58266
1,90.947556,90.938194,93.65025
2,90.967445,90.91675,93.67027
3,90.98943,90.95517,93.67798
4,91.00662,90.89503,93.6985
5,91.0102,90.92906,93.691345
6,91.025894,90.873795,93.7065
7,90.99665,90.92553,93.686714
8,91.00508,90.90156,93.6999
9,91.00321,90.892456,93.697105
10,91.0142,90.86568,93.699776
11,91.031715,90.83795,93.713905
12,90.96999,91.9043,93.720375
13,91.01806,91.16232,93.73203
14,91.02569,91.04876,93.723495
15,91.03981,91.01012,93.74282
16,91.04437,90.96365,93.736084
17,91.047386,90.95247,93.74115
18,91.05703,90.94351,93.73045
19,91.06203,90.94626,93.73842
20,91.06633,90.915985,93.74555
21,91.007454,91.893654,93.737236
22,91.04189,91.217766,93.72796
23,90.99765,91.93403,93.72564
24,90.990685,91.94529,93.72274
25,90.9962,91.903625,93.733696
26,91.03259,91.46938,93.73192
27,90.998245,91.95887,93.74257
28,91.02734,91.4353,93.710014
29,90.991585,91.96427,93.72996
30,90.99343,91.942696,93.74208
31,90.99568,91.92755,93.74226
32,90.98518,91.50812,93.69603
33,90.97653,91.21096,93.69198
34,90.95676,91.05681,93.66326
35,90.950584,90.74832,93.64807
36,90.953156,90.90913,93.64802
37,90.95866,90.83284,93.64805
38,90.94706,90.79873,93.622635
39,90.935555,90.78012,93.61544
40,90.92351,90.75756,93.6121
41,90.91502,90.76736,93.60268
42,90.91565,90.74554,93.593994
43,90.92005,90.75352,93.599625
44,90.91616,90.76239,93.58845
45,90.92214,90.77663,93.59668
46,90.92539,90.77053,93.60978
47,90.92955,90.78178,93.60777
48,90.93066,90.77567,93.62726
49,90.92637,90.78428,93.61724
50,90.87358,91.82754,93.60326
51,90.92165,91.10572,93.59712
52,90.92674,91.00706,93.58869
53,90.93643,90.96157,93.61283
54,90.8899,91.84333,93.60616
55,90.88644,91.86861,93.60198
56,90.90989,91.37878,93.58892
57,90.91839,91.20218,93.58911
58,90.925446,91.07722,93.60636
59,90.93224,91.008095,93.606636
60,90.93234,90.97271,93.597664
61,90.93073,90.95976,93.60414
62,90.933014,90.94392,93.614876
63,90.91962,90.94034,93.59255
64,90.91494,90.90237,93.5932
65,90.91245,90.91258,93.59337
66,90.90797,90.92355,93.60278
67,90.91087,90.922356,93.61645
68,90.91431,90.919395,93.62432
69,90.91842,90.92329,93.62878
70,90.91713,90.92453,93.6285
71,90.92374,90.934906,93.62931
72,90.924484,90.94754,93.62983
73,90.93231,90.960335,93.62908
74,90.944626,90.96689,93.64774
75,90.9445,90.979706,93.64014
76,90.932175,90.972626,93.636475
77,90.92621,90.96232,93.62887
78,90.92256,90.95376,93.614136
79,90.91306,90.91367,93.61184
80,90.91131,90.87824,93.612
81,90.89472,90.871735,93.596436
82,90.88798,90.87814,93.59078
83,90.889694,90.88587,93.59938
84,90.89236,90.88804,93.58763
85,90.89784,90.895164,93.58154
86,90.89294,90.88842,93.561714
87,90.891,90.894714,93.56297
88,90.8829,90.887985,93.543884
89,90.87843,90.89035,93.54383
90,90.87745,90.901115,93.55094
91,90.88281,90.9093,93.54461
92,90.886536,90.89642,93.55456
93,90.887405,90.886024,93.551476
94,90.88558,90.886406,93.54812
95,90.88743,90.87791,93.55678
96,90.88186,90.86848,93.5467
97,90.88677,90.86387,93.563576
98,90.88806,90.85874,93.5575
99,90.893105,90.861275,93.57301
100,90.902626,90.87975,93.58686
101,90.91145,90.87726,93.58594
102,90.90495,90.88646,93.58191
103,90.90631,90.88722,93.58323
104,90.90098,90.88086,93.58264
105,90.89808,90.884605,93.56984
106,90.89521,90.89034,93.56472
107,90.89913,90.90396,93.56843
108,90.90311,90.903885,93.57158
109,90.8463,91.83328,93.58531
110,90.89614,91.17515,93.58934
111,90.90764,91.07742,93.60613
112,90.91327,91.00464,93.61335
113,90.9131,90.94529,93.61278
114,90.9071,90.93459,93.60608
115,90.90782,90.90861,93.61384
116,90.85431,91.79549,93.58943
117,90.895325,91.136345,93.58287
118,90.902245,91.023026,93.59571
119,90.91479,90.99292,93.60763
120,90.91942,90.94723,93.61204
121,90.92401,90.96783,93.6205
122,90.92589,90.95151,93.622574
123,90.93548,90.95962,93.63421
124,90.96449,90.99609,93.64777
125,90.97889,91.008415,93.67981
126,90.98917,90.99724,93.66589
127,90.98564,90.98344,93.672676
