,ROI_1,ROI_2,ROI_3
0,91.62309,90.57152,92.96208
1,91.61772,90.54619,92.94636
2,91.62181,90.54518,92.954315
3,91.62935,90.51139,92.94831
4,91.62673,90.44168,92.950294
5,91.63342,90.449135,92.94432
6,91.63838,90.43835,92.954605
7,91.64796,90.51948,92.94711
8,91.65672,90.52714,92.94798
9,91.654526,90.54708,92.9385
10,91.65703,90.52797,92.93885
11,91.65763,90.533844,92.94702
12,91.65462,90.518585,92.94768
13,91.64738,90.512726,92.94606
14,91.64623,90.50218,92.94671
15,91.65468,90.52325,92.954346
16,91.66346,90.53037,92.9675
17,91.653435,90.516785,92.961586
18,91.65132,90.508995,92.96036
19,91.64467,90.51368,92.9486
20,91.6468,90.522095,92.95842
21,91.65431,90.51808,92.96556
22,91.68659,90.51665,92.95867
23,91.68029,90.50143,92.95967
24,91.66437,90.48422,92.958595
25,91.65648,90.47725,92.945305
26,91.66416,90.49292,92.972664
27,91.66348,90.47826,92.968834
28,91.657845,90.457855,92.96512
29,91.65517,90.44201,92.97261
30,91.66163,90.43436,92.97689
31,91.65709,90.41573,92.973526
32,91.66079,90.40952,92.97353
33,91.66485,90.409256,92.98354
34,91.66462,90.41194,92.99009
35,91.67219,90.41159,92.99819
36,91.67417,90.42439,93.00806
37,91.6668,90.416664,93.00965
38,91.65349,90.409065,92.97935
39,91.64941,90.40877,92.98024
40,91.6542,90.41595,92.98093
41,91.65322,90.4233,92.991844
42,91.64982,90.42154,92.98848
43,91.647194,90.427666,92.987625
44,91.65562,90.43828,92.98825
45,91.65623,90.45069,92.97656
46,91.65878,90.45392,92.97608
47,91.667145,90.4679,92.98612
48,91.670555,90.465775,92.99191
49,91.68025,90.466896,93.00373
50,91.68027,90.468544,93.00696
51,91.67309,90.4631,93.00504
52,91.673935,90.47196,93.01074
53,91.696,90.49236,93.01986
54,91.712494,90.49231,93.02529
55,91.70843,90.474106,93.02567
56,91.685234,90.479935,93.01625
57,91.66827,90.48992,93.00707
58,91.664154,90.50347,93.00711
59,91.67078,90.52729,93.00661
60,91.665825,90.536,93.01548
61,91.6509,90.552505,93.00192
62,91.647545,90.56272,92.98678
63,91.646034,90.575005,92.978745
64,91.63628,90.57474,92.97596
65,91.628136,90.55294,92.96569
66,91.62035,90.55548,92.95861
67,91.61483,90.55642,92.957924
68,91.61509,90.55056,92.95072
69,91.6182,90.5499,92.96421
70,91.622406,90.535736,92.966484
71,91.6219,90.53175,92.96211
72,91.62258,90.5229,92.96055
73,91.63027,90.521965,92.98166
74,91.63185,90.50385,92.99253
75,91.64488,90.48617,93.00656
76,91.64877,90.47066,93.00841
77,91.64959,90.44662,93.007774
78,91.65602,90.43483,93.0214
79,91.64925,90.42116,93.02193
80,91.648895,90.40641,93.02082
81,91.65179,90.40688,93.03441
82,91.651794,90.42757,93.02269
83,91.66045,90.44422,93.03193
84,91.66071,90.455795,93.038734
85,91.65369,90.44361,93.03768
86,91.65562,90.45478,93.03156
87,91.65241,90.445496,93.02467
88,91.64966,90.45019,93.00898
89,91.65973,90.4611,93.01896
90,91.663765,90.46236,93.012535
91,91.66892,90.46951,93.02355
92,91.66619,90.46176,93.015656
93,91.673584,90.46156,93.0273
94,91.67429,90.45922,93.01486
95,91.669044,90.46202,93.01196
96,91.66882,90.4617,93.02388
97,91.67167,90.45778,93.02559
98,91.676544,90.46369,93.01206
99,91.666954,90.45245,93.01352
100,91.66375,90.446945,93.00645
101,91.66595,90.44562,93.00683
102,91.65186,90.42052,92.993866
103,91.643776,90.41906,92.990135
104,91.64259,90.4051,92.99079
105,91.64885,90.404465,92.99899
106,91.65553,90.41497,93.00403
107,91.6573,90.40918,93.00617
108,91.6637,90.42055,93.01515
109,91.66918,90.424126,93.01932
110,91.679695,90.43783,93.020004
111,91.676384,90.43877,93.018585
112,91.67199,90.445305,93.0112
113,91.68262,90.46104,93.019585
114,91.72169,90.47148,93.02025
115,91.74507,90.48501,93.03537
116,91.74648,90.50836,93.03672
117,91.74276,90.51846,93.05156
118,91.72475,90.521194,93.0396
119,91.71644,90.51817,93.03828
120,91.70126,90.500404,93.01992
121,91.694405,90.49339,93.00841
122,91.69058,90.50091,93.01002
123,91.688194,90.50967,93.007675
124,91.68331,90.499344,93.01522
125,91.68935,90.51159,92.98433
126,91.715965,90.515564,92.9807
127,91.72424,90.52474,92.990456
128,91.72384,90.53333,92.99662
129,91.71045,90.53068,93.00255
130,91.69118,90.52728,92.99802
131,91.67816,90.517586,92.98923
132,91.67407,90.51932,92.98558
133,91.66007,90.51196,92.9827
134,91.65678,90.50722,92.99393
135,91.647606,90.496605,92.98955
136,91.64016,90.48475,92.99515
137,91.63358,90.47041,92.9871
138,91.63225,90.45642,92.98936
139,91.628136,90.440865,92.99178
140,91.62553,90.44832,92.995155
141,91.62313,90.45209,92.98667
142,91.627045,90.45695,92.99045
143,91.630005,90.46796,92.9779
144,91.63014,90.474236,92.975914
145,91.66951,90.48831,92.981346
146,91.68796,90.48609,92.98249
147,91.68059,90.46433,92.97267
148,91.66522,90.45313,92.96975
149,91.64942,90.43911,92.98354
150,91.636665,90.43811,92.976776
151,91.62872,90.45135,92.979256
152,91.62253,90.451485,92.97676
153,91.61166,90.443,92.9638
154,91.60189,90.429634,92.96177
155,91.60289,90.43599,92.96224
156,91.60584,90.44117,92.96049
157,91.59872,90.43859,92.96468
158,91.620804,90.44641,92.96192
159,91.64315,90.447845,92.9762
160,91.64926,90.463776,92.982475
161,91.65507,90.47944,92.987206
162,91.64578,90.45791,92.986664
163,91.638985,90.46465,92.98347
164,91.63587,90.47436,92.99746
165,91.637535,90.488,93.00546
166,91.64445,90.49509,93.01795
167,91.6433,90.498695,93.01317
168,91.64604,90.5031,92.99605
169,91.641975,90.49978,92.98403
170,91.63164,90.48422,92.97708
171,91.625824,90.46561,92.96419
172,91.61977,90.45134,92.97093
173,91.62459,90.45343,92.97706
174,91.62497,90.45125,92.98146
175,91.636696,90.46094,92.99048
176,91.64328,90.460655,92.99296
177,91.65197,90.464874,92.99513
178,91.66584,90.47437,93.0228
179,91.67162,90.47932,93.02559
180,91.68049,90.47569,93.032684
181,91.68483,90.4703,93.04482
182,91.69122,90.47389,93.0493
183,91.71438,90.474014,93.056465
184,91.74014,90.47342,93.06322
185,91.737,90.46102,93.05297
186,91.724754,90.466064,93.032974
187,91.711815,90.47371,93.04251
188,91.702965,90.47539,93.03986
189,91.70065,90.48154,93.0348
190,91.687294,90.488396,93.03816
191,91.68297,90.4927,93.04453
192,91.68009,90.49265,93.051605
193,91.69332,90.49757,93.034225
194,91.735054,90.50345,93.04719
195,91.74168,90.498566,93.050705
196,91.745415,90.49958,93.058266
197,91.74833,90.4904,93.06465
198,91.75075,90.505875,93.08447
199,91.74054,90.49516,93.08535
200,91.73315,90.49376,93.068085
201,91.728165,90.4878,93.070724
202,91.72404,90.49165,93.076096
203,91.72006,90.483345,93.06065
204,91.74264,90.47411,93.051025
205,91.74315,90.463776,93.04685
206,91.702034,90.42267,93.020256
207,91.702034,90.42267,93.020256
208,91.68731,90.41306,93.001366
209,91.64862,90.38802,92.989
210,91.64425,90.390526,93.00268
211,91.631615,90.38335,92.98367
212,91.62693,90.38151,92.981926
213,91.61429,90.35014,92.97254
214,91.61429,90.35014,92.97254
215,91.60604,90.33504,92.967125
216,91.60622,90.33424,92.964836
217,91.61339,90.341034,92.97457
218,91.61317,90.34484,92.971
219,91.61314,90.34233,92.982796
220,91.61323,90.344124,92.982956
221,91.61955,90.35469,92.992325
222,91.61767,90.36011,92.979996
223,91.61534,90.35402,92.97817
224,91.61648,90.35463,92.97606
225,91.602745,90.340935,92.97093
226,91.614685,90.34012,92.9665
227,91.64426,90.35448,92.9738
228,91.63787,90.35305,92.97785
229,91.62338,90.35056,92.96531
230,91.61232,90.35913,92.966095
231,91.61639,90.36634,92.97051
232,91.616844,90.37076,92.96851
233,91.6218,90.38014,92.97077
234,91.61769,90.38709,92.982574
235,91.602486,90.38577,92.9566
236,91.637436,90.43481,92.9879
237,91.646835,90.43908,93.00981
238,91.661285,90.45881,93.02987
239,91.67494,90.45716,93.05071
240,91.68318,90.46451,93.055275
241,91.681145,90.46485,93.06889
242,91.66822,90.443596,93.05461
243,91.67172,90.43711,93.063385
244,91.67405,90.4312,93.065865
245,91.673584,90.41597,93.06283
246,91.6881,90.406494,93.0729
247,91.72468,90.40425,93.07775
248,91.721,90.38993,93.07226
249,91.71391,90.38108,93.08048
250,91.700005,90.38345,93.0711
251,91.6917,90.39019,93.07778
252,91.683266,90.39242,93.073616
253,91.6792,90.40134,93.07002
254,91.67217,90.39577,93.05466
255,91.665794,90.390465,93.04772
256,91.663185,90.38539,93.050896
257,91.6691,90.39941,93.05249
258,91.66346,90.40446,93.035034
259,91.65849,90.39783,93.02377
260,91.64979,90.385056,93.01831
261,91.64786,90.38058,93.01112
262,91.65086,90.387695,92.99647
263,91.648735,90.38469,92.99552
264,91.65144,90.38553,92.99673
265,91.65834,90.38364,93.012535
266,91.66545,90.378716,93.01828
267,91.66376,90.39468,93.02542
268,91.66469,90.39835,93.02247
269,91.66661,90.40369,93.0127
270,91.661,90.3898,93.01623
271,91.66042,90.38917,93.01492
272,91.66209,90.38886,93.010376
273,91.66668,90.384834,93.02149
274,91.660805,90.382095,93.00918
275,91.66713,90.38085,93.014824
276,91.67223,90.37394,93.02627
277,91.67927,90.37808,93.03817
278,91.68,90.37896,93.041016
279,91.682976,90.38124,93.04441
280,91.684006,90.38785,93.03626
281,91.685196,90.3914,93.02934
282,91.68036,90.38641,93.02761
283,91.67527,90.38242,93.02082
284,91.68293,90.39439,93.03288
285,91.68752,90.40453,93.04572
286,91.69792,90.41247,93.043655
287,91.73308,90.42114,93.05186
288,91.74582,90.42608,93.07083
289,91.73747,90.419304,93.07
290,91.732414,90.421005,93.07789
291,91.722916,90.4161,93.073044
292,91.72272,90.426056,93.07309
293,91.7116,90.40941,93.062744
294,91.696526,90.40077,93.05391
295,91.696526,90.40077,93.05391
296,91.69048,90.39607,93.04896
297,91.69019,90.41027,93.05104
298,91.68211,90.39781,93.02891
299,91.68648,90.397766,93.04015
300,91.68494,90.38903,93.04272
301,91.69171,90.39206,93.06181
302,91.68776,90.388664,93.05796
303,91.69251,90.38025,93.05623
304,91.69376,90.374146,93.06328
305,91.69391,90.37703,93.0624
306,91.69928,90.37684,93.06327
307,91.70577,90.37424,93.07181
308,91.712395,90.38197,93.08376
309,91.70586,90.36962,93.09029
310,91.69889,90.35028,93.078125
311,91.695656,90.34895,93.07581
312,91.6923,90.34903,93.05999
313,91.690285,90.35005,93.062386
314,91.68995,90.37137,93.06204
315,91.696266,90.37555,93.071045
316,91.68568,90.3707,93.06892
317,91.71007,90.37867,93.06628
318,91.73948,90.37678,93.064156
319,91.750046,90.36626,93.074615
320,91.74181,90.362946,93.06767
321,91.72285,90.35419,93.06261
322,91.726036,90.361244,93.06205
323,91.72881,90.369316,93.056435
324,91.725464,90.3764,93.04642
325,91.72754,90.38748,93.06294
326,91.72528,90.39871,93.06059
327,91.72247,90.407585,93.05934
328,91.727516,90.425865,93.06224
329,91.725006,90.41628,93.0705
330,91.72521,90.416145,93.0704
331,91.72729,90.42369,93.07195
332,91.73012,90.42573,93.07289
333,91.73867,90.43124,93.08815
334,91.73968,90.42251,93.092674
335,91.73968,90.42251,93.092674
336,91.71835,90.37294,93.076256
337,91.703415,90.34184,93.06434
338,91.708626,90.34163,93.076546
339,91.720924,90.36319,93.090836
340,91.72282,90.357925,93.09069
341,91.71763,90.35652,93.082115
342,91.71269,90.359955,93.06802
343,91.71884,90.36072,93.07686
344,91.721855,90.36625,93.07353
345,91.72523,90.36243,93.073975
346,91.72693,90.36635,93.081635
347,91.72992,90.364624,93.074715
348,91.723656,90.36215,93.069824
349,91.72569,90.36249,93.05759
350,91.72653,90.359,93.061325
351,91.722786,90.36432,93.0622
352,91.72362,90.35411,93.07132
353,91.73,90.35789,93.076256
354,91.72482,90.35141,93.076675
355,91.73071,90.36041,93.08496
356,91.75865,90.394,93.102165
357,91.78812,90.43765,93.136055
358,91.78812,90.43765,93.136055
359,91.8063,90.47537,93.15028
360,91.80809,90.491905,93.15688
361,91.80809,90.491905,93.15688
362,91.805595,90.498405,93.16005
363,91.80744,90.49963,93.16528
364,91.80822,90.50825,93.15812
365,91.806625,90.52223,93.164795
366,91.806625,90.52223,93.164795
367,91.80984,90.51841,93.17983
368,91.80706,90.510544,93.15633
369,91.80244,90.49344,93.14959
370,91.80199,90.49032,93.154655
371,91.80343,90.48847,93.15669
372,91.80458,90.507454,93.16546
373,91.79959,90.498024,93.16698
374,91.79769,90.51039,93.160484
375,91.80245,90.516014,93.15773
376,91.80239,90.51533,93.16275
377,91.80098,90.50576,93.160835
378,91.80346,90.510864,93.150475
379,91.817795,90.52512,93.161964
380,91.835205,90.51904,93.17735
381,91.86533,90.51429,93.18444
382,91.86659,90.504814,93.19319
383,91.857346,90.49123,93.18416
384,91.85395,90.48523,93.18532
385,91.85498,90.49437,93.18404
386,91.8484,90.50001,93.17622
387,91.79709,90.46024,93.13097
388,91.75795,90.42155,93.099396
389,91.73764,90.405495,93.078156
390,91.72926,90.40431,93.07962
391,91.71842,90.410614,93.06716
392,91.71319,90.40074,93.06748
393,91.7122,90.4063,93.05892
394,91.7156,90.417404,93.0626
395,91.71832,90.416306,93.06629
396,91.71057,90.41055,93.065254
397,91.70065,90.39206,93.05569
398,91.69986,90.38995,93.05588
399,91.688896,90.35623,93.05271
400,91.690674,90.34731,93.05483
401,91.685585,90.34227,93.050674
402,91.6917,90.33385,93.05295
403,91.698044,90.34523,93.05483
404,91.70583,90.34799,93.06094
405,91.71135,90.35771,93.06046
406,91.71215,90.3581,93.06123
407,91.72087,90.36059,93.07162
408,91.72701,90.35463,93.08267
409,91.73295,90.3541,93.08354
410,91.73121,90.3442,93.09105
411,91.73366,90.34312,93.09158
412,91.731125,90.33822,93.08449
413,91.72952,90.320885,93.08427
414,91.726105,90.31277,93.06694
415,91.72765,90.29818,93.07546
416,91.73641,90.2989,93.08789
417,91.767654,90.30553,93.109474
418,91.76896,90.35416,93.12132
419,91.77319,90.35498,93.12886
420,91.77319,90.35498,93.12886
421,91.77751,90.35332,93.1456
422,91.769455,90.33718,93.12326
423,91.768364,90.32468,93.13253
424,91.77419,90.332275,93.13975
425,91.770226,90.350525,93.13817
426,91.77748,90.35717,93.136116
427,91.77431,90.3584,93.12801
428,91.78063,90.36735,93.12434
429,91.77745,90.35798,93.11953
430,91.77467,90.367615,93.11393
431,91.774055,90.37212,93.10498
432,91.7767,90.38364,93.12108
433,91.78036,90.38905,93.12075
434,91.81257,90.40721,93.118965
435,91.832985,90.428116,93.13804
436,91.83367,90.4322,93.13774
437,91.816505,90.43534,93.132645
438,91.80935,90.47072,93.14297
439,91.80259,90.48031,93.125015
440,91.795654,90.4835,93.11285
441,91.79332,90.489075,93.12131
442,91.79132,90.48595,93.129684
443,91.79141,90.48931,93.12971
444,91.77858,90.47214,93.12132
445,91.7712,90.45522,93.11258
446,91.78166,90.4604,93.12729
447,91.79081,90.46878,93.13172
448,91.79226,90.47065,93.12486
449,91.7943,90.492065,93.129364
450,91.7943,90.492065,93.129364
451,91.794754,90.49867,93.13506
452,91.79016,90.51691,93.12629
453,91.783195,90.50747,93.12444
454,91.7897,90.510345,93.1312
455,91.78552,90.50641,93.12232
456,91.78529,90.492424,93.13281
457,91.78233,90.47481,93.12036
458,91.77952,90.46303,93.126495
459,91.777916,90.45851,93.12667
460,91.77793,90.437195,93.1259
461,91.78605,90.43494,93.13283
462,91.7912,90.44178,93.14762
463,91.7986,90.43878,93.155785
464,91.7957,90.42969,93.15838
465,91.78668,90.441925,93.14161
466,91.78775,90.43366,93.14663
467,91.78334,90.42371,93.15561
468,91.790306,90.44189,93.156525
469,91.79455,90.44779,93.15145
470,91.79989,90.45073,93.15783
471,91.79791,90.44647,93.15515
472,91.79804,90.448616,93.1436
473,91.80007,90.44032,93.14512
474,91.8059,90.44028,93.1442
475,91.808,90.45766,93.140915
476,91.78508,90.43769,93.13225
477,91.771935,90.439476,93.12415
478,91.75984,90.45195,93.10741
479,91.75675,90.47,93.105865
480,91.76131,90.48177,93.10386
481,91.76756,90.50887,93.106926
482,91.762375,90.51711,93.11742
483,91.76057,90.52292,93.11064
484,91.751144,90.511314,93.10026
485,91.74425,90.50098,93.09441
486,91.74168,90.5039,93.09231
487,91.74697,90.49966,93.10075
488,91.73537,90.45869,93.0862
489,91.73537,90.45869,93.0862
490,91.73337,90.458,93.08944
491,91.72555,90.433685,93.08488
492,91.72067,90.408585,93.06803
493,91.71968,90.3986,93.076195
494,91.719246,90.388176,93.065186
495,91.712776,90.381325,93.05483
496,91.703476,90.36875,93.041275
497,91.699356,90.36397,93.040245
498,91.70712,90.366936,93.047035
499,91.7204,90.37522,93.06895
500,91.718605,90.37224,93.0623
501,91.72381,90.38481,93.06717
502,91.728966,90.37885,93.086205
503,91.72761,90.37531,93.08635
504,91.72143,90.37098,93.08314
505,91.715225,90.36616,93.08335
506,91.710945,90.35456,93.08192
507,91.72031,90.36417,93.08335
508,91.72031,90.36417,93.08335
509,91.738075,90.38216,93.100815
510,91.740974,90.39704,93.097084
511,91.74823,90.40872,93.10573
512,91.751396,90.43199,93.10725
513,91.74767,90.433685,93.11795
514,91.73935,90.4324,93.10379
515,91.74091,90.42836,93.106514
516,91.740616,90.43336,93.099525
517,91.737335,90.433624,93.10205
518,91.737366,90.44046,93.09432
519,91.74603,90.44272,93.10755
520,91.74552,90.45761,93.10273
521,91.7383,90.445496,93.08998
522,91.74211,90.44715,93.09554
523,91.7406,90.45606,93.10037
524,91.74669,90.48201,93.10184
525,91.74268,90.49431,93.09561
526,91.742935,90.49533,93.095825
527,91.747574,90.5036,93.097824
528,91.75114,90.507065,93.09789
529,91.74655,90.50275,93.09345
530,91.75086,90.50273,93.099625
531,91.75746,90.5118,93.09473
532,91.76012,90.49531,93.10184
533,91.76003,90.492096,93.09767
534,91.76633,90.48929,93.110756
535,91.76829,90.48685,93.102554
536,91.77114,90.48417,93.11639
537,91.77344,90.47566,93.11733
538,91.77344,90.47566,93.11733
539,91.76463,90.461296,93.11313
540,91.76478,90.45737,93.13063
541,91.75913,90.46114,93.10867
542,91.76525,90.47481,93.116806
543,91.77064,90.484474,93.1161
544,91.77408,90.494736,93.139175
545,91.76148,90.4908,93.11367
546,91.759834,90.46965,93.10997
547,91.76621,90.4703,93.10927
548,91.79425,90.46945,93.10808
549,91.78982,90.46099,93.10152
550,91.77324,90.45679,93.11238
551,91.75774,90.45289,93.10298
552,91.750946,90.4529,93.11686
553,91.7484,90.45566,93.11992
554,91.742905,90.45569,93.117805
555,91.746315,90.447464,93.10847
556,91.75135,90.46499,93.10265
557,91.75017,90.4631,93.10173
558,91.751686,90.458755,93.10548
559,91.75798,90.469154,93.11784
560,91.761925,90.46776,93.11727
561,91.76265,90.4666,93.11949
562,91.76174,90.46254,93.12987
563,91.747505,90.44643,93.114555
564,91.740364,90.43723,93.11031
565,91.73288,90.42396,93.10355
566,91.71978,90.40128,93.09391
567,91.70041,90.37811,93.0742
568,91.69928,90.38142,93.06695
569,91.71506,90.39628,93.08276
570,91.70972,90.39937,93.075195
571,91.6994,90.40661,93.061264
572,91.70138,90.41819,93.06461
573,91.69471,90.4189,93.058235
574,91.68455,90.40965,93.05335
575,91.68171,90.42297,93.05633
576,91.674416,90.43713,93.0343
577,91.675385,90.44634,93.03047
578,91.66463,90.43329,93.0186
579,91.665855,90.458626,93.01401
580,91.671715,90.48797,93.00687
581,91.67189,90.48723,93.00814
582,91.67058,90.49164,93.01516
583,91.6669,90.48959,93.01958
584,91.67359,90.5046,93.02043
585,91.67453,90.498,93.026726
586,91.674675,90.51248,93.016
587,91.67605,90.5142,93.01571
588,91.67819,90.51374,93.00909
589,91.67422,90.49861,93.01379
590,91.67102,90.489456,93.00717
591,91.66683,90.48974,93.003525
592,91.661896,90.47211,92.99633
593,91.66569,90.471664,93.001205
594,91.66937,90.48562,93.01604
595,91.67208,90.46699,93.0208
596,91.6735,90.46255,93.03406
597,91.67184,90.453285,93.0302
598,91.712166,90.49167,93.07803
599,91.74239,90.48607,93.11839
600,91.7615,90.488914,93.120804
601,91.76367,90.469086,93.12303
602,91.77203,90.47032,93.128654
603,91.77743,90.457405,93.125534
604,91.784294,90.456665,93.14828
605,91.78935,90.460365,93.154854
606,91.78442,90.45192,93.15576
607,91.783905,90.43943,93.147705
608,91.79266,90.44207,93.15301
609,91.7993,90.455635,93.15737
610,91.80076,90.47719,93.16411
611,91.801285,90.47459,93.15901
612,91.79701,90.48044,93.16224
613,91.79604,90.48667,93.14859
614,91.793755,90.49109,93.15203
615,91.78314,90.49731,93.142365
616,91.78838,90.520134,93.14591
617,91.78749,90.54349,93.12497
618,91.78573,90.56156,93.1222
619,91.783936,90.57334,93.1146
620,91.78742,90.58154,93.1188
621,91.79738,90.59267,93.13037
622,91.80244,90.594284,93.14556
623,91.80807,90.58961,93.14029
624,91.80803,90.57906,93.14082
625,91.80472,90.56438,93.13814
626,91.8072,90.554115,93.15024
627,91.802704,90.54384,93.13718
628,91.802734,90.54434,93.13947
629,91.79214,90.52695,93.13624
630,91.78123,90.51148,93.13267
631,91.77666,90.50421,93.12088
632,91.77913,90.508446,93.13026
633,91.77235,90.498314,93.12999
634,91.7675,90.4911,93.12302
635,91.76415,90.4986,93.102554
636,91.76668,90.51103,93.09913
637,91.76635,90.51617,93.1077
638,91.767685,90.51587,93.11709
639,91.77225,90.52729,93.112724
640,91.76919,90.52923,93.0941
641,91.76858,90.53298,93.08898
642,91.77142,90.53672,93.08131
643,91.77351,90.53358,93.07908
644,91.777855,90.52619,93.088554
645,91.78245,90.52735,93.093506
646,91.7883,90.520294,93.09853
647,91.79046,90.50272,93.10656
648,91.79079,90.486336,93.098434
649,91.795876,90.49247,93.118126
650,91.79935,90.50207,93.11368
651,91.79984,90.511536,93.10684
652,91.79522,90.521324,93.10158
653,91.78843,90.51289,93.10208
654,91.78772,90.51339,93.10775
655,91.78671,90.51645,93.10745
656,91.78984,90.51665,93.100105
657,91.78772,90.516235,93.09189
658,91.7898,90.51754,93.09476
659,91.7866,90.52319,93.105255
660,91.7856,90.512985,93.11297
661,91.77836,90.49236,93.096405
662,91.77203,90.47795,93.09316
663,91.76824,90.46706,93.09033
664,91.75561,90.47099,93.071304
665,91.74569,90.45622,93.06461
666,91.74498,90.45778,93.07352
667,91.74771,90.46651,93.07697
668,91.75682,90.469284,93.089035
669,91.7627,90.46481,93.09481
670,91.76136,90.46963,93.09144
671,91.760735,90.46561,93.09787
672,91.754906,90.45755,93.09075
673,91.75924,90.456406,93.092415
674,91.77083,90.45564,93.109795
675,91.77317,90.460144,93.11348
