,ROI_1,ROI_2,ROI_3
0,97.70728,89.38059,94.181206
1,97.70728,89.38059,94.234726
2,97.69625,89.36905,94.1889
3,97.677795,89.31676,94.15031
4,97.66363,89.27428,94.113686
5,97.645645,89.2084,94.10664
6,97.636086,89.136444,94.06215
7,97.664154,89.228516,94.085884
8,97.608376,89.2116,94.08403
9,97.62387,89.23668,94.10864
10,97.66039,89.27765,94.124016
11,97.63427,89.304214,94.11599
12,97.70243,89.308784,94.10207
13,97.66294,89.31705,94.11039
14,97.69456,89.348404,94.10864
15,97.71234,89.35007,94.13021
16,97.673416,89.34337,94.174095
17,97.69159,89.364525,94.17987
18,97.69321,89.37122,94.18429
19,97.71234,89.34386,94.15699
20,97.71339,89.34085,94.1632
21,97.71587,89.32866,94.13765
22,97.69722,89.33031,94.1818
23,97.69259,89.3028,94.1768
24,97.69457,89.33447,94.18069
25,97.716255,89.3272,94.18249
26,97.724304,89.28352,94.12999
27,97.713196,89.26347,94.17337
28,97.70987,89.28911,94.175446
29,97.75868,89.3217,94.18303
30,97.76444,89.31579,94.18196
31,97.76299,89.31206,94.182
32,97.697174,89.344635,94.208755
33,97.722755,89.36335,94.19258
34,97.6831,89.35834,94.196175
35,97.67349,89.385,94.20849
36,97.71849,89.38151,94.181725
37,97.74686,89.36925,94.18277
38,97.74517,89.32904,94.14497
39,97.7327,89.3177,94.13212
40,97.750336,89.298965,94.14667
41,97.69966,89.28482,94.1718
42,97.692184,89.28811,94.160515
43,97.74682,89.31482,94.14891
44,97.74687,89.31273,94.1582
45,97.75638,89.34129,94.16787
46,97.74286,89.33891,94.16787
47,97.72557,89.34129,94.141846
48,97.72233,89.38079,94.1582
49,97.73339,89.36878,94.16943
50,97.74842,89.364235,94.2043
51,97.73339,89.40298,94.221405
52,97.74026,89.4285,94.22258
53,97.74026,89.41201,94.21359
54,97.737976,89.403336,94.20461
55,97.785164,89.434265,94.21662
56,97.79801,89.4494,94.234245
57,97.81729,89.480576,94.20632
58,97.79907,89.4531,94.18319
