,ROI_1,ROI_2,ROI_3
0,90.96408,86.76303,93.33654
1,90.96391,86.75494,93.34998
2,90.975006,86.75197,93.35143
3,90.97552,86.74854,93.37551
4,90.976036,86.71995,93.391014
5,90.96516,86.72623,93.37638
6,90.97441,86.71598,93.3954
7,90.968254,86.75637,93.369385
8,90.961105,86.747795,93.37809
9,90.965004,86.751854,93.374596
10,90.96565,86.74718,93.39589
11,90.96192,86.72502,93.39909
12,90.96712,86.73042,93.41762
13,90.971405,86.72509,93.41341
14,90.97722,86.730194,93.40715
15,90.97408,86.72068,93.41767
16,90.98102,86.73667,93.42771
17,90.968346,86.72323,93.4045
18,90.96107,86.71557,93.379906
19,90.95899,86.7149,93.35522
20,90.95581,86.71372,93.33959
21,90.95397,86.70426,93.32949
22,90.95905,86.7349,93.34491
23,90.966156,86.7446,93.35181
24,90.97323,86.74227,93.35417
25,90.970604,86.7442,93.35672
26,90.9692,86.75835,93.35575
27,90.96473,86.743126,93.327194
28,90.96054,86.72986,93.3223
29,90.95051,86.71454,93.307945
30,90.95306,86.72422,93.32856
31,90.94713,86.72923,93.30106
32,90.95518,86.719315,93.34459
33,90.95935,86.72535,93.34078
34,90.97318,86.74199,93.35742
35,90.98111,86.7476,93.35862
36,90.98293,86.74236,93.36798
37,90.98513,86.74702,93.36136
38,90.98417,86.74452,93.35824
39,90.98644,86.75906,93.359825
40,91.00536,86.76779,93.38116
41,91.025185,86.79418,93.38888
42,91.031944,86.78128,93.45514
43,91.04301,86.772514,93.530075
44,91.0346,86.77908,93.47733
45,91.02493,86.79539,93.446495
46,91.01886,86.79087,93.42423
47,91.01603,86.77825,93.420685
48,91.01761,86.776886,93.41737
49,91.01972,86.7751,93.40097
50,91.01606,86.781296,93.392914
51,91.02015,86.77196,93.40522
52,91.009964,86.75355,93.386
53,91.0056,86.74748,93.375496
54,90.99746,86.72879,93.375824
55,90.99857,86.72651,93.37842
56,90.99662,86.704544,93.393585
57,90.99679,86.69919,93.39397
58,90.99788,86.70706,93.39391
59,90.99683,86.70137,93.38722
60,90.9985,86.715546,93.38696
61,90.99585,86.718346,93.383865
62,90.99802,86.71091,93.4085
63,90.99965,86.71346,93.38509
64,91.00193,86.726395,93.38063
65,90.99943,86.72297,93.388535
66,90.99495,86.725006,93.3876
67,90.9911,86.72804,93.37627
68,90.99367,86.74006,93.36694
69,90.99234,86.73998,93.36121
70,90.9903,86.738396,93.33539
71,90.99303,86.73627,93.366196
72,90.99287,86.72175,93.357574
73,90.989716,86.7209,93.35732
74,90.99643,86.718994,93.34441
75,90.99885,86.72318,93.34689
76,91.00347,86.716606,93.35061
77,90.99758,86.7093,93.35971
78,90.9922,86.709045,93.35343
79,90.986435,86.69874,93.35792
80,90.98434,86.67547,93.34087
81,90.980194,86.66678,93.3405
82,90.984665,86.66371,93.35521
83,90.98835,86.6576,93.35427
84,90.98558,86.65791,93.35809
85,90.99166,86.66626,93.378716
86,90.99537,86.66636,93.377525
87,91.00118,86.68956,93.3794
88,90.99506,86.70114,93.35268
89,90.99506,86.70114,93.35268
90,90.99032,86.689514,93.351845
91,90.98839,86.66655,93.34464
92,90.992195,86.70259,93.36129
93,90.97934,86.68973,93.34023
94,90.9814,86.70162,93.33309
95,90.98598,86.70458,93.33329
96,90.98377,86.71157,93.3451
97,90.98212,86.719635,93.33404
98,90.98298,86.71776,93.345825
99,90.98433,86.713104,93.36132
100,90.98641,86.73588,93.379265
101,90.984695,86.72411,93.39066
102,90.97334,86.71337,93.384476
103,90.9664,86.71132,93.37913
104,90.93039,86.5928,93.52781
105,90.94471,86.69051,93.37233
106,90.943016,86.68962,93.36522
107,90.944565,86.68221,93.359314
108,90.94027,86.68767,93.34516
109,90.94404,86.69041,93.33061
110,90.945435,86.68607,93.341934
111,90.952286,86.677475,93.36733
112,90.95452,86.671524,93.367935
113,90.94831,86.633575,93.34267
114,90.949066,86.64409,93.351395
115,90.93755,86.60054,93.33622
116,90.93043,86.59349,93.318695
117,90.92708,86.591255,93.31241
118,90.91233,86.60592,93.288216
119,90.90759,86.60656,93.28631
120,90.90732,86.61656,93.303604
121,90.91169,86.61026,93.30663
122,90.90534,86.62008,93.29249
123,90.902756,86.62038,93.266205
124,90.8996,86.62438,93.26403
125,90.89979,86.62821,93.28795
126,90.90659,86.651695,93.284996
127,90.908325,86.640274,93.286064
128,90.90762,86.64362,93.29168
129,90.9081,86.64614,93.28812
130,90.91318,86.65078,93.278305
131,90.91934,86.65809,93.271324
132,90.92733,86.66021,93.29627
133,90.9272,86.66616,93.27858
134,90.92192,86.66032,93.266815
135,90.91878,86.662964,93.29039
136,90.92477,86.6636,93.29399
137,90.92218,86.65546,93.29418
138,90.92003,86.63953,93.28644
139,90.91183,86.63274,93.2831
140,90.904495,86.627144,93.263985
141,90.89995,86.624245,93.27253
142,90.92419,86.6375,93.305916
143,90.93203,86.64547,93.319916
144,90.93525,86.64542,93.308655
145,90.92578,86.63656,93.28929
146,90.91787,86.62527,93.27201
147,90.91462,86.61421,93.29042
148,90.91802,86.61429,93.30134
149,90.92541,86.61418,93.30006
150,90.926254,86.61103,93.32251
151,90.93747,86.61133,93.35438
152,90.945045,86.63205,93.38968
153,90.95172,86.63394,93.407
154,90.95356,86.62751,93.43471
155,90.95642,86.64428,93.43681
156,90.95713,86.64242,93.43949
157,90.960175,86.63328,93.446785
158,90.96239,86.63623,93.45055
159,90.96393,86.637794,93.46779
160,90.9709,86.63943,93.47119
161,90.968094,86.645195,93.481834
162,90.96884,86.651146,93.48783
163,90.96795,86.647896,93.478455
164,90.97636,86.65459,93.498795
165,90.978745,86.67178,93.48761
166,90.97432,86.67582,93.4724
167,90.970276,86.66528,93.47405
168,90.96307,86.65798,93.462036
169,90.95963,86.6664,93.43117
170,90.95894,86.67016,93.4397
171,90.95932,86.66754,93.43643
172,90.95214,86.64318,93.42305
173,90.94717,86.63903,93.42226
174,90.94839,86.64802,93.41503
